PubmedArticleSet,PubmedArticle,MedlineCitation,PMID,DateRevised,Year,Month,Day,Article,Journal,ISSN,JournalIssue,PubDate,Title,ISOAbbreviation,ArticleTitle,ELocationID,Abstract,AbstractText,AuthorList,Author,LastName,ForeName,Initials,AffiliationInfo,Affiliation,Language,PublicationTypeList,PublicationType,ArticleDate,MedlineJournalInfo,Country,MedlineTA,NlmUniqueID,ISSNLinking,PubmedData,History,PubMedPubDate,Hour,Minute,PublicationStatus,ArticleIdList,ArticleId
,,,30457773,,2018,11,21,,,,,,,,,,,"b'Although available screening tools may reasonably identify women experiencing past 12-month IPV, RCTs of screening in adult women do not show a reduction in IPV exposure or improvement in quality of life over 3 to 18 months. Interventions for women with screen-detected IPV show inconsistent results; limited evidence from some RCTs suggested that home visiting interventions and behavioral counseling interventions that address multiple risk factors may lead to reduced IPV among pregnant or postpartum women. No eligible studies assessed screening or treatment for elder abuse and abuse of vulnerable adults.'",,,Jonas,Daniel E.,DE,,,eng,,Review,,,,,,,,,,6,1,ppublish,,30457773
,,,30458539,,2018,11,21,,,1558-9129,,,"Language, speech, and hearing services in schools",Lang Speech Hear Serv Sch,b'Exploring the Overlap Between Dyslexia and Speech Sound Production Deficits.',10.1044/2018_LSHSS-DYSLC-18-0008,,b'Speech-language pathologists have a unique opportunity to assist in the identification of young children who are at risk for dyslexia.',,,Hogan,Tiffany P,TP,,"Department of Communication Sciences and Disorders, MGH Institute of Health Professions, Boston, MA.",eng,,Journal Article,,,United States,Lang Speech Hear Serv Sch,0323431,0161-1461,,,,6,0,ppublish,,10.1044/2018_LSHSS-DYSLC-18-0008
,,,30458538,,2018,11,21,,,1558-9129,,,"Language, speech, and hearing services in schools",Lang Speech Hear Serv Sch,b'Understanding Dyslexia in the Context of Developmental Language Disorders.',10.1044/2018_LSHSS-DYSLC-18-0049,,"b""We discuss 3 clinical implications for working with children with dyslexia in school settings: (a) Children with dyslexia-with and without comorbid DLDs-often have language deficits outside the phonological domain; (b) intervention should target a child's strengths and weaknesses relative to reading outcomes, regardless of diagnostic labels; and (c) those who have dyslexia, regardless of language abilities at the time of diagnosis, may be at risk for slower language acquisition across their lifetime. Longitudinal studies are needed to assess multiple language skills early, at the time of the diagnosis of dyslexia, and years later to better understand the complex development of language and reading in children with dyslexia.""",,,Hogan,Tiffany P,TP,,"MGH Institute of Health Professions, Boston, MA.",eng,,Journal Article,,,United States,Lang Speech Hear Serv Sch,0323431,0161-1461,,,,6,0,ppublish,,10.1044/2018_LSHSS-DYSLC-18-0049
,,,30458350,,2018,11,21,,,1096-0953,,,Environmental research,Environ. Res.,b'Climate change and occupational heat stress risks and adaptation strategies of mining workers: Perspectives of supervisors and other stakeholders in Ghana.',10.1016/j.envres.2018.11.004,,"b""Increasing air temperatures as a result of climate change are worsening the impact of heat exposure on working populations, including mining workers, who are at risk of suffering heat-related illnesses, injury and death. However, inadequate awareness of climate change-related occupational heat stress risks and adaptation strategies have been shown to render occupational heat stress management ineffective. A concurrent mixed-methods approach was used to assess the perceptions of climate change and occupational heat stress risks and adaptation strategies of mining workers among supervisory personnel and other stakeholders in Ghana. Questionnaires and interviews were used to elicit data from 19 respondents. Data were processed and interpreted using descriptive statistics, chi-square and Fisher's exact tests, and thematic analysis. Supervisors' climate change risks perception was adequate, and their concern about workplace heat exposure risks was moderate. Mining workers' occupational heat stress risks experiences were linked to heat-related illness and minor injuries. Mining workers' adaptation strategies included water intake, use of cooling mechanisms, work-break practices, and clothing use. The related differences in job experience in the distribution of climate change risk perception and occupational heat stress risk experiences, and the difference in educational attainment in the distribution of adaptation strategies of occupational heat stress were significant (p<0.05). Hence, an effective workplace heat management policy requires adequate understanding of occupational heat stress risks and adaptation policies and continued education and training for mining workers.""",,,Frimpong,Kwasi,K,,"Edith Cowan University, Perth, Western Australia, Australia; Ghana Institute of Management and Public Administration, Ghana.",eng,,Journal Article,,,Netherlands,Environ Res,0147621,0013-9351,,,,6,0,aheadofprint,,10.1016/j.envres.2018.11.004
,,,30458233,,2018,11,21,,,1879-355X,,,"International journal of radiation oncology, biology, physics",Int. J. Radiat. Oncol. Biol. Phys.,b'Image-guided brachytherapy for cancer of the nasal vestibule: achieving high local-regional control while preserving cosmesis.',10.1016/j.ijrobp.2018.11.018,,"b'We report the largest cohort to date treated with brachytherapy as the sole treatment for nasal vestibule carcinoma. Brachytherapy offers excellent local control for Wang T1-T2 tumors with high patient satisfaction. Tumor volume is an adequate predictive factor for patients at risk of regional recurrence, but ultimate control rates after salvage treatment are high. Therefore, we do not recommend elective treatment of the neck.'",,,Verhoef,C G,CG,,"Department of Radiation Oncology, Radboudumc, Nijmegen, The Netherlands.",eng,,Journal Article,,,United States,Int J Radiat Oncol Biol Phys,7603616,0360-3016,,,,6,0,aheadofprint,,10.1016/j.ijrobp.2018.11.018
,,,30457956,,2018,11,21,,,1468-2877,,,"Public health reports (Washington, D.C. : 1974)",Public Health Rep,"b'Cross-site Monitoring and Evaluation of the Care and Prevention in the United States Demonstration Project, 2012-2016: Selected Process and Short-term Outcomes.'",10.1177/0033354918803368,,b'CAPUS grantees substantially expanded their capacity to deliver HIV-related services and reach racial/ethnic minority groups at risk for or living with HIV infection. Our findings demonstrate the feasibility of implementing novel and integrated programs that address social and structural barriers to HIV care and prevention.',,,Shabu,Tanjina,T,,"2 Northrop Grumman Corporation, Atlanta, GA, USA.",eng,,Journal Article,,,United States,Public Health Rep,9716844,0033-3549,,,,6,0,ppublish,,10.1177/0033354918803368
,,,30457939,,2018,11,21,,,1547-0164,,,Substance abuse,Subst Abus,"b'3,4-Methylenedioxymethamphetamine (MDMA; ecstasy) use and transitions to injection drug use among street-involved youth.'",10.1080/08897077.2018.1528493,,"b'Amid ongoing frequent use of MDMA among some young people in North America, we did not observe an elevated risk of injection initiation among those who used MDMA in this cohort of street-involved youth.'",,,DeBeck,Kora,K,,"d School of Public Policy , Simon Fraser University , Vancouver , British Columbia , Canada.",eng,,Journal Article,,,United States,Subst Abus,8808537,0889-7077,,,,6,0,aheadofprint,,10.1080/08897077.2018.1528493
,,,30457847,,2018,11,21,,,1520-5851,,,Environmental science & technology,Environ. Sci. Technol.,b'Circulating miRNAs associated with arsenic exposure.',10.1021/acs.est.8b06457,,"b'Arsenic (As) is a toxic metalloid. Inorganic arsenic (iAs) is a form of As commonly found in drinking water and in some foods. Overwhelming evidence suggest that people chronically exposed to iAs are at risk of developing cancer, or cardiovascular, neurological and metabolic diseases. Although the mechanisms underlying iAs-associated illness remain poorly characterized, a growing body of literature raises the possibility that microRNAs (miRNAs), post-transcriptional gene suppressors, may serve as mediators and/or early indicators of the pathologies associated with iAs exposure. To characterize the circulating miRNA profiles of individuals chronically exposed to iAs, samples of plasma were collected from 109 healthy residents of the city of Zimapn and the Lagunera area in Mexico, the regions with historically high exposures to iAs in drinking water. These plasma samples were analyzed for small RNAs using high-throughput sequencing, and for iAs and its methylated metabolites. Associations between plasma levels of arsenic species and miRNAs were evaluated. Six circulating miRNAs (miRs-423-5p, -142-5p -2, -423-5p +1, -320c-1, -320c-2, and -454-5p), two of which have been previously linked to cardiovascular disease and diabetes (miRs-423-5p, -454-5p), were found to be significantly correlated with plasma MAs. No miRNAs were associated with plasma iAs or DMAs after correction for multiple testing. These miRNAs may represent mechanistic links between iAs exposure and disease or serve as markers of disease risks associated with this exposure.'",,,Styblo,Miroslav,M,,,eng,,Journal Article,,,United States,Environ Sci Technol,0213155,0013-936X,,,,6,0,aheadofprint,,10.1021/acs.est.8b06457
,,,30457586,,2018,11,21,,,0097-6326,,,Federal register,Fed Regist,b'Moral Exemptions and Accommodations for Coverage of Certain Preventive Services Under the Affordable Care Act. Final rules.',,,"b'These rules finalize, with changes based on public comments, the interim final rules issued in the Federal Register on October 13, 2017 concerning moral exemptions and accommodations regarding coverage of certain preventive services. These rules finalize expanded exemptions to protect moral beliefs for certain entities and individuals whose health plans are subject to a mandate of contraceptive coverage through guidance issued pursuant to the Patient Protection and Affordable Care Act. These rules do not alter the discretion of the Health Resources and Services Administration, a component of the U.S. Department of Health and Human Services, to maintain the guidelines requiring contraceptive coverage where no regulatorily recognized objection exists. These rules also leave in place an optional ""accommodation"" process for certain exempt entities \nthat wish to use it voluntarily. These rules do not alter multiple other federal programs that provide free or subsidized contraceptives for women at risk of unintended pregnancy.'",,,,,,,,eng,,Journal Article,,,United States,Fed Regist,7808722,0097-6326,,,,6,0,ppublish,,30457586
,,,30457389,,2018,11,21,,,1944-9097,,,Journal of food protection,J. Food Prot.,b'Molecular Characterization and Antibiotic Resistance of Foodborne Pathogens in Street-Vended Ready-to-Eat Meat Sold in South Africa.',10.4315/0362-028X.JFP-18-069,,"b'The consumption of food contaminated with microbial populations remains a key route of foodborne infection in developing countries and creates a serious public health burden. This study aimed at identifying foodborne pathogens and their antibiotic resistance profiles in ready-to-eat meat sold in public eateries in the Johannesburg area. A total of 115 samples were examined for the incidence of bacteria pathogens and their antibiotic resistance profiles against commonly used antibiotics (ampicillin, tetracycline, chloramphenicol, erythromycin, ciprofloxacin, streptomycin, and sulphonamides) using the molecular and the disc diffusion methods. Fifteen bacteria species were detected in the samples. Staphylococcus aureus had the highest prevalence (25%), and 53.33% of the isolates exhibited multidrug resistance to the antibiotics tested. Among the isolated bacteria, S. aureus was resistant to at least six antimicrobial agents, whereas 100% of S. aureus, Enterococcus faecalis, and Planomicrobium glaciei were resistant to streptomycin, ciprofloxacin, and chloramphenicol, respectively. This study revealed that a wide diversity of bacteria species contaminate meat sold on the street, which indicates that consumers of ready-to-eat meat sold in public eateries are at risk of food poisoning. Hence, strict intervention strategies should be put in place by government agencies to reduce the menace of food poisoning in the country.'",,,Mwanza,Mulunda,M,,"1 Department of Animal Health, School of Agriculture, Faculty of Natural and Agricultural Sciences, Mafikeng Campus, North-West University, Private Bag X2046, Mmabatho, South Africa, 2735 (ORCID: http://orcid.org/0000-0001-6059-8532 [M.C.A.]).",eng,,Journal Article,,,United States,J Food Prot,7703944,0362-028X,,,,6,0,aheadofprint,,10.4315/0362-028X.JFP-18-069
