PubmedArticleSet,PubmedArticle,MedlineCitation,PMID,DateRevised,Year,Month,Day,Article,Journal,ISSN,JournalIssue,PubDate,Title,ISOAbbreviation,ArticleTitle,ELocationID,Abstract,AbstractText,AuthorList,Author,LastName,ForeName,Initials,AffiliationInfo,Affiliation,Language,PublicationTypeList,PublicationType,ArticleDate,MedlineJournalInfo,Country,MedlineTA,NlmUniqueID,ISSNLinking,PubmedData,History,PubMedPubDate,Hour,Minute,PublicationStatus,ArticleIdList,ArticleId
,,,30453913,,2018,11,21,,,1471-2458,,,BMC public health,BMC Public Health,b'Clusters of alcohol and drug use and other health-risk behaviors among Thai secondary school students: a latent class analysis.',10.1186/s12889-018-6205-z,,"b'Alcohol, tobacco and drug use, as well as other health-risk behaviors such as fighting, are clustered in Thai secondary school students. This result highlights the importance of comprehensive prevention and education strategies, particularly for moderate to high-risk groups.'",,,Saingam,Darika,D,,"Epidemiology Unit, Faculty of Medicine, Prince of Songkla University, Hat Yai, Songkhla, Thailand.",eng,,Journal Article,,,England,BMC Public Health,100968562,1471-2458,,,,6,0,epublish,,10.1186/s12889-018-6205-z
,,,30360682,,2018,10,27,,,1758-1052,,,International journal of STD & AIDS,Int J STD AIDS,b'Selling and buying sex in the city: men who have sex with men in the Bangkok men who have sex with men Cohort Study.',10.1177/0956462418796440,,"b'We describe participants in the Bangkok Men who have sex with men Cohort Study (BMCS) who sold or bought sex. Men who have sex with men (MSM) and transgender women aged 18 years had HIV testing and behavioral data collected at enrollment and every four months. We evaluated report of receiving money or goods for sex (selling sex) or giving money or goods for sex (buying sex) at enrollment using logistic regression models; we also describe sex work over time, and HIV and syphilis incidence among those who report sex work. At enrollment, 511 (29.3%) of 1744 participants reported buying or selling sex. Factors associated with selling sex were young age, lower education, living alone or living with a friend, being unemployed, higher HIV knowledge, binge drinking and club drug use, a higher number of casual male partners, meeting sex partners at specific venues, having a foreign sex partner, and being HSV-1 seropositive. MSM aged 18-21 years who sold sex had an HIV incidence of 11.1 per 100 person-years (95% CI: 6.7-17.4). Almost one-third of participants from BMCS reported sex work at enrollment. Young men who sold sex had high HIV incidence and HIV prevention interventions are needed for this at-risk population in Bangkok, Thailand.'",,,Holtz,Timothy H,TH,,"2 Division of HIV/AIDS Prevention, U.S. Centers for Disease Control and Prevention, Atlanta, GA, USA.",eng,,Journal Article,,,England,Int J STD AIDS,9007917,0956-4624,,,,6,0,aheadofprint,,10.1177/0956462418796440
,,,30348067,,2018,10,24,,,1758-1052,,,International journal of STD & AIDS,Int J STD AIDS,b'Impact of social factors and sexual behaviors on the knowledge of sexually transmitted infections among women who have sex with women/women who have sex with women and men.',10.1177/0956462418802736,,"b""Although heterosexual individuals' knowledge of sexually transmitted infections (STIs) has been examined, no studies have been conducted in Poland of the STI knowledge in women who have sex with women (WSW) and women who have sex with women and men (WSWM). We enrolled a group of 146 WSW and 113 WSWM and asked them to complete a study questionnaire that contained items about socioeconomic factors, sexual behaviors, and STI knowledge. The level of STI knowledge among the studied WSW was insufficient. The frequency of correct answers was higher in WSWM. A multivariate regression model revealed that only the higher importance of sex to the respondents ( F(1)=4.31, p=0.04) and a higher number of same-sex sexual partners within the last 12 months ( F(1)=14.86, p=0.0001) influenced the level of STI knowledge. The results of the study allowed us to conclude that WSW have insufficient STI knowledge, whereas WSWM have better knowledge, and this is influenced by awareness that STI risk is not associated with the partner's gender, age, importance of sex, sexual behaviors, and openness to discussing STIs with a sexual partner.""",,,Nowosielski,Krzysztof,K,,"2 Department of Sexology and Family Planning, Medical College in Sosnowiec, Sosnowiec, Poland.",eng,,Journal Article,,,England,Int J STD AIDS,9007917,0956-4624,,,,6,0,aheadofprint,,10.1177/0956462418802736
,,,30334927,,2018,10,20,,,1935-3227,,,Journal of addiction medicine,J Addict Med,b'Drug Misuse and Hepatitis C Virus Infection Profiles for Three Generations of Patients Being Monitored for Prescription Drug Adherence.',10.1097/ADM.0000000000000460,,"b'The rates of inconsistent drug test results and types of drugs misused suggest that HCV-positive patients are more likely than HCV-negative patients to display high-risk behavior, even beyond opioid use. This difference is most pronounced in the post-baby boomer generation. Healthcare professionals should consider these patterns and how they differ by generation when monitoring for both prescription and illicit drugs, the results of which can impact treatment decisions including prescribing analgesics.This is an open access article distributed under the terms of the Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal. http://creativecommons.org/licenses/by-nc-nd/4.0.'",,,Gudin,Jeffrey,J,,"Quest Diagnostics, Secaucus, NJ.",eng,,Journal Article,,,United States,J Addict Med,101306759,1932-0620,,,,6,0,aheadofprint,,10.1097/ADM.0000000000000460
,,,30229948,,2018,9,20,,,1098-2337,,,Aggressive behavior,Aggress Behav,b'Sibling bullying at 12 years and high-risk behavior in early adulthood: A prospective cohort study.',10.1002/ab.21793,,"b'Emerging evidence suggests that sibling aggression is associated with the development of high-risk behavior. This study investigated the relationship between sibling bullying perpetration and victimization in early adolescence and high-risk behavior in early adulthood. Sibling bullying was assessed at 12 years in 6,988 individuals from the Avon Longitudinal Study of Parents and Children, a birth cohort based in the UK and high-risk behavioral outcomes were assessed at 18-20 years. Frequent sibling bullying perpetration predicted antisocial behavior (OR=1.74; 95%CI, 1.38-2.20), while frequent sibling bullying victimization increased the odds of nicotine dependence (OR=2.87; 95%CI, 1.55-5.29), even after accounting for peer bullying and parent maltreatment. Categorical analysis revealed that particularly bullies and bully-victims were at risk of developing high-risk behavior. Finally, this study found that adolescents who were involved in bullying perpetration across multiple contexts (home and school) had the highest odds of reporting antisocial behavior (OR=3.05; 95%CI, 2.09-4.44), criminal involvement (OR=2.12; 95%CI, 1.23-3.66), and illicit drug use (OR=2.11; 95%CI, 1.44-3.08). Findings from this study suggest that sibling bullying perpetration may be a marker of or a contributory factor along the developmental trajectory to antisocial behavior problems. Intervention studies are needed in order to test whether reducing sibling bullying can alleviate long-term adverse social and behavioral outcomes.'",,,Wolke,Dieter,D,,"University of Warwick, Department of Psychology, Coventry, United Kingdom.",eng,,Journal Article,,,United States,Aggress Behav,7502265,0096-140X,,,,6,0,aheadofprint,,10.1002/ab.21793
,,,30218852,,2018,9,16,,,1876-2026,,,Asian journal of psychiatry,Asian J Psychiatr,b'The gender discrepancy in high-risk behaviour outcomes in adolescents who have experienced cyberbullying in Indonesia.',10.1016/j.ajp.2018.08.021,,"b""Cyberbullying returned negative impacts on both genders of adolescents. Boys showed a greater tendency to externalize while girls showed a greater tendency to internalize. Mental health promotion that is designed specifically for both genders might address the adolescents' needs.""",,,Hendarmo,Rananda,R,,"Faculty of Medicine Universitas Indonesia, Jakarta, Indonesia.",eng,,Journal Article,,,Netherlands,Asian J Psychiatr,101517820,1876-2018,,,,6,0,aheadofprint,,10.1016/j.ajp.2018.08.021
,,,30180443,,2018,9,6,,,0254-6450,,,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,Zhonghua Liu Xing Bing Xue Za Zhi,b'[Progress of research on influencing factors of condom use among female sex workers].',10.3760/cma.j.issn.0254-6450.2018.08.024,,b'HIVHIVHIVHIV.',,,Li,D M,DM,,"Department of Epidemiology, National Center for AIDS/STD Control and Prevention, Chinese Center for Disease Control and Prevention, Beijing 102206, China.",chi,,Journal Article,,,China,Zhonghua Liu Xing Bing Xue Za Zhi,8208604,0254-6450,,,,6,0,ppublish,,10.3760/cma.j.issn.0254-6450.2018.08.024
,,,30103664,,2018,8,15,,,1758-1052,,,International journal of STD & AIDS,Int J STD AIDS,"b'Late diagnosis of human immunodeficiency virus infections in high-risk groups in Karachi, Pakistan.'",10.1177/0956462418785264,,"b'Human immunodeficiency virus (HIV) infection prevalence in Pakistan has been increasing in high-risk groups, including people who inject drugs (PWID) and transgender hijra sex workers (TG-HSWs) nationwide. Effective control of HIV requires early diagnosis of the infection. We investigated recency of HIV infections in newly-diagnosed cases in PWID and TG-HSWs. This was an observational study with convenience sampling. Overall, 210 HIV-positive subjects comprising an equal number of PWID and TG-HSWs were included. Antibody avidity was tested using the Maxim HIV-1 Limiting Antigen Avidity (LAg) EIA (Maxim Biomedical, Inc. Rockville, Maryland, USA). The mean age of study subjects was 29.5 years: PWID, 28.5 years and TG-HSWs, 30.4 years. Study subjects were married, 27%, or unmarried. Eighteen percent of individuals had recently-acquired HIV infections: 19% of PWID and 17% of TG-HSWs. Eighty-two percent of individuals had long-term HIV infections: 81% of PWID and 83% of TG-HSWs. This is the first study identification of recent HIV-1 infections in Pakistan. We show that most newly-diagnosed HIV patients in the high-risk groups studied had long-term infections. There is an urgent need for intervention in these groups to facilitate early diagnosis and treatment of HIV infection to reduce transmission in Pakistan.'",,,Busch,Michael,M,,"3 Blood Systems Institute, San Francisco, CA, USA.",eng,,Journal Article,,,England,Int J STD AIDS,9007917,0956-4624,,,,6,0,aheadofprint,,10.1177/0956462418785264
,,,16988643,,2018,8,9,,,2328-8957,,,Open forum infectious diseases,Open Forum Infect Dis,b'Missed Opportunities for HIV Testing of Patients Tested for Sexually Transmitted Infections at a Large Urban Health Care System From 2010 to 2015.',10.1093/ofid/ofy165,,"b'Concurrent HIV testing of patients being evaluated for GC/CT increased from 2010 to 2015. However, many patients failed to receive HIV testing, especially in emergency and inpatient settings. There continue to be missed opportunities for diagnosis of HIV among individuals with ongoing high-risk behavior.'",,,Vaamonde,Carlos M,CM,,"Division of Infectious Diseases, Weill Cornell Medicine, New York, New York.",eng,,Journal Article,,,United States,Open Forum Infect Dis,101637045,2328-8957,,,,6,1,epublish,,PMC6059204
,,,29986272,,2018,7,10,,,1873-4758,,,The International journal on drug policy,Int. J. Drug Policy,b'Treatment with direct-acting antivirals in a multicenter cohort of HCV-infected inmates in Italy.',10.1016/j.drugpo.2018.06.017,,b'Our study shows that in Italian penitentiary settings DAAs treatment is feasible and effective. This intervention is crucial for reducing HCV circulation with possible benefits to the general population.',,,Madeddu,Giordano,G,,"Unit of Infectious Diseases, Department of Clinical and Experimental Medicine, University of Sassari, Sassari, Italy.",eng,,Journal Article,,,Netherlands,Int J Drug Policy,9014759,0955-3959,,,,6,0,ppublish,,10.1016/j.drugpo.2018.06.017
