PubmedArticleSet,PubmedArticle,MedlineCitation,PMID,DateRevised,Year,Month,Day,Article,Journal,ISSN,JournalIssue,PubDate,Title,ISOAbbreviation,ArticleTitle,ELocationID,Abstract,AbstractText,AuthorList,Author,LastName,ForeName,Initials,AffiliationInfo,Affiliation,Language,PublicationTypeList,PublicationType,ArticleDate,MedlineJournalInfo,Country,MedlineTA,NlmUniqueID,ISSNLinking,PubmedData,History,PubMedPubDate,Hour,Minute,PublicationStatus,ArticleIdList,ArticleId
,,,30413279,,2018,11,11,,,1095-9254,,,Journal of adolescence,J Adolesc,b'Perceptions of middle school youth about school bullying.',10.1016/j.adolescence.2018.10.008,,"b""Asking students about their perspectives of the main tenants of bully prevention programs provides opportunities to craft prevention program content that better speaks to the experiences and concerns that youth have when trying to navigate these difficult situations. Focus groups are also useful in identifying the ways in which youth talk about bullying and other types of peer aggression to guide the 'voice' of the program.""",,,Prescott,Tonya L,TL,,"Center for Innovative Public Health Research, San Clemente, CA, United States.",eng,,Review,,,England,J Adolesc,7808986,0140-1971,,,,6,0,aheadofprint,,10.1016/j.adolescence.2018.10.008
,,,30308996,,2018,11,20,,,1424-8220,,,"Sensors (Basel, Switzerland)",Sensors (Basel),b'Multi-Target Intense Human Motion Analysis and Detection Using Channel State Information.',10.3390/s18103379,,"b'Intense human motion, such as hitting, kicking, and falling, in some particular scenes indicates the occurrence of abnormal events like violence and school bullying. Camera-based human motion detection is an effective way to analyze human behavior and detect intense human motion. However, even if the camera is properly deployed, it will still generate blind spots. Moreover, camera-based methods cannot be used in places such as restrooms and dressing rooms due to privacy issues. In this paper, we propose a multi-target intense human motion detection scheme using commercial Wi-Fi infrastructures. Compared with human daily activities, intense human motion usually has the characteristics of intensity, rapid change, irregularity, large amplitude, and continuity. We studied the changing pattern of Channel State Information (CSI) influenced by intense human motion, and extracted features in the pattern by conducting a large number of experiments. Considering occlusion exists in some complex scenarios, we distinguished the Line-of-Sight (LOS) and Non-Line-of-Sight (NLOS) conditions in the case of obstacles appearing between the transmitter and the receiver, which further improves the overall performance. We implemented the intense human motion detection system using single commercial Wi-Fi devices, and evaluated it in real indoor environments. The experimental results show that our system can achieve intense human motion detection rate of 90%.'",,,Shu,Lei,L,,"School of Engineering, University of Lincoln, Brayford Pool, Lincoln LN6 7TS, UK. lei.shu@njau.edu.cn.",eng,,Journal Article,,,Switzerland,Sensors (Basel),101204366,1424-8220,,,,6,0,epublish,,PMC6210441
,,,30278116,,2018,10,3,,,1467-9450,,,Scandinavian journal of psychology,Scand J Psychol,b'Exposure to parental and community violence and the relationship tobullying perpetration and victimization among early adolescents: Aparallel process growth mixture latent transition analysis.',10.1111/sjop.12493,,"b'This study examined heterogeneity in parental and community violence exposure during middle school and its association with bullying perpetration and victimization in high school. Youth (N = 1,611) in four Midwestern middle schools participated. Parallel process growth mixture latent transition analysis was used to understand how trajectory profiles of middle school violence exposure was associated with high school bullying profiles. Impulsivity, depression, school belonging, and delinquency were assessed as moderators of the transition probabilities. A three class solution was found for violence exposure: decreasing parental violence/increasing community violence (n = 103; 6.4%), stable high parental violence and low community violence (n = 1,027; 63.7%), and increasing parental violence and stable high community violence (n = 481; 29.8%). Similarly, a three class solution was found for high school bullying: High Bullying Perpetration and High Victimization class (n = 259; 16%), Victimization only (n = 1145; 71%), and low all class (n = 207; 13%). The largest proportion of youth transitioning into the high bullying and high victimization class were from the decreasing parental violence/increasing community violence. Depression, impulsivity, school belonging, and delinquency all had various moderating effects on transition probabilities. Our findings make it apparent that early forms of parental and community violence are associated with aggressive behaviors and experiences with victimization during high school. Prevention and intervention efforts should target individuals who display early and chronic patterns of exposure to violence as these individuals have the greatest risk of later aggressive and victimization in high school.'",,,Espelage,Dorothy L,DL,,"University of Florida, Department of Psychology, Gainesville, Florida, United States.",eng,,Journal Article,,,England,Scand J Psychol,0404510,0036-5564,,,,6,0,aheadofprint,,10.1111/sjop.12493
,,,30273813,,2018,10,2,,,1873-7757,,,Child abuse & neglect,Child Abuse Negl,b'Socioeconomic trends in school bullying among Finnish adolescents from 2000 to 2015.',10.1016/j.chiabu.2018.09.011,,"b'Bullying at school has far-reaching impacts on adolescent well-being and health. The aim of this study was to examine trends in bullying at school according to socioeconomic adversities among Finnish adolescents from 2000 to 2015. A population-based school survey was conducted biennially among 14-16-year-old Finns between 2000 and 2015 (n=761,278). Distributions for bullying, being bullied and socioeconomic adversities were calculated. Associations between bullying involvement, time and socioeconomic adversities were studied using binomial logistic regression with results shown by odds ratios with 95% confidence intervals. At the population level, the likelihoods of bullying and being bullied varied only slightly between 2000 and 2015. Bullying and being bullied were associated with socioeconomic adversities (low parental education, not living with both parents and parental unemployment in the past year). Unlike in the general population, the likelihoods of bullying and being bullied increased markedly among adolescents with most socioeconomic adversities. The increased socioeconomic differences in bullying involvement observed in this study add to the mounting evidence of polarization of adolescent health and well-being. Socioeconomic adversities should be considered in the prevention of bullying at school. In addition, socio-political measures are needed to decrease socioeconomic inequalities among Finnish adolescents.'",,,Kaltiala-Heino,Riittakerttu,R,,"Faculty of Medicine and Life Sciences, 33014 University of Tampere, Finland; Vanha Vaasa Hospital, Vierinkiventie 1, 65380, Vaasa, Finland; Tampere University Hospital, Department of Adolescent Psychiatry, 33380, Pitkäniemi, Finland. Electronic address: riittakerttu.kaltiala-heino@uta.fi.",eng,,Journal Article,,,England,Child Abuse Negl,7801702,0145-2134,,,,6,0,aheadofprint,,10.1016/j.chiabu.2018.09.011
,,,30167732,,2018,9,1,,,1433-9285,,,Social psychiatry and psychiatric epidemiology,Soc Psychiatry Psychiatr Epidemiol,"b'Bullying involvement, psychological distress, and short sleep duration among adolescents.'",10.1007/s00127-018-1590-2,,"b'These results suggest that higher levels of bullying involvement place adolescents at risk of developing higher psychological distress which, in turn, can lead to short sleep duration. Longitudinal research is necessary to confirm the mediating role of psychological distress on the relationship between bullying involvement and short sleep duration among adolescents.'",,,Colman,Ian,I,,"School of Epidemiology and Public Health, University of Ottawa, 600 Peter Morand Crescent, Ottawa, ON, K1G 5Z3, Canada.",eng,,Journal Article,,,Germany,Soc Psychiatry Psychiatr Epidemiol,8804358,0933-7954,,,,6,0,aheadofprint,,10.1007/s00127-018-1590-2
,,,30141722,,2018,8,25,,,1552-6518,,,Journal of interpersonal violence,J Interpers Violence,b'Bullying at School and on the Street: Risk Factors and Outcomes Among Homeless Youth.',10.1177/0886260518794024,,"b""Though rates of bullying among general population youth are high, there is elevated prevalence among certain subgroups, in particular sexual minority homeless youth. Enduring bullying can have devastating consequences, including poor mental health, revictimization, and substance abuse. The current study compares risk factors (i.e., sexual orientation, gender, and child abuse) for being bullied both at school and on the street among homeless youth. We also examine the associations of both contexts of bullying (i.e., at school and on the street) with physical and sexual victimization while on the street, with illicit drug use. From July 2014 to October 2015, we interviewed 150 homeless youth aged 16 to 22 years in shelters and on the streets from two Midwestern cities. Our sample was 51% female and 22% identified as lesbian, gay, or bisexual (LGB). Results revealed that LGB youth experienced more frequent bullying at school and were more likely to have ever used one or more illicit drugs at least a few times compared with heterosexual youth. Moreover, youth who experienced more child abuse prior to leaving home were also victimized more often at school (school bullying) and on the street (street bullying). Young people who experienced more sexual and physical street victimization were more likely to report illicit drug use compared with those who had fewer street victimization experiences. Overall, youth who experience victimization in one context (i.e., home) are at heightened risk for being bullied in additional contexts (i.e., school). These findings have important policy and service intervention implications, such that service providers should attend to homeless youth's multiple social contexts of victimization and the potential for youth's illicit drug use as a coping mechanism.""",,,Schmitz,Rachel M,RM,,"2 The University of Texas Rio Grande Valley, Edinburg, USA.",eng,,Journal Article,,,United States,J Interpers Violence,8700910,0886-2605,,,,6,0,aheadofprint,,10.1177/0886260518794024
,,,30121025,,2018,8,19,,,1573-2517,,,Journal of affective disorders,J Affect Disord,b'Mental health and psychosocial problems among Chinese left-behind children: A cross-sectional comparative study.',10.1016/j.jad.2018.08.017,,b'Our results highlight the urgent need for school-based and targeted interventions for LBC to prevent negative mental health outcomes.',,,Xu,Jiuping,J,,"Institute of Emergency Management and Post-disaster Reconstruction, Sichuan University, Chengdu, China. Electronic address: xujiuping@scu.edu.cn.",eng,,Journal Article,,,Netherlands,J Affect Disord,7906073,0165-0327,,,,6,0,ppublish,,10.1016/j.jad.2018.08.017
,,,30109963,,2018,8,16,,,2151-2396,,,Crisis,Crisis,"b'The Association Between Cyberbullying, School Bullying, and Suicidality Among Adolescents.'",10.1027/0227-5910/a000536,,"b'The prevalence of adolescent cyberbullying, school bullying, and suicidal behavior is relatively high in Israel, Lithuania, and Luxembourg. Cyberbullying is a strong predictor of adolescent suicidality.'",,,Heinz,Andreas,A,,"3 University of Luxembourg, Luxembourg.",eng,,Journal Article,,,Canada,Crisis,8218602,0227-5910,,,,6,0,aheadofprint,,10.1027/0227-5910/a000536
,,,30109855,,2018,8,16,,,1105-2333,,,Psychiatrike = Psychiatriki,Psychiatriki,b'[ullying and the mental health of schoolchildren with special educational needs in primary education].',10.22365/jpsych.2018.292.149,,"b'The purpose of this study was to investigate the relationship between bullying and mental Health in schoolchildren with special educational needs (SEN). Random sampling was used to select two groups of children aged 11-12 years, attending the fifth and sixth grades of primary school and integration classes in urban and rural locations in Greece. The final sample comprised a group of 80 children with SEN and a control group of 81 children. The participants completed The Revised Olweus Bullying Victim Questionnaire and The Strengths and Difficulties Questionnaire (SDQ). The children in the SEN group scored significantly higher on both the ""Victimization"" dimension and the ""Intimidation"" dimension of the Olweus questionnaire than the children in the control group. On the SDQ, the SEN group scored significantly higher overall, and in the dimensions ""Emotional Symptoms"", ""Hyperactivity"" and ""Peer Problems"", and significantly lower in the dimension ""Pr- social Behavior"", indicating more mental health problems in comparison to the children in the control group. In addition, significant correlation was demonstrated between the dimensions ""Victimization"" and ""Intimidation"" of the Olweus questionnaire and almost all the SDQ dimensions. Multifactorial linear regression analysis showed that the SDQ scores were independently associated with the Olweus dimensions ""Victimization"" and ""Bullying"". In addition, higher scores in emotional symptoms and conduct problems were associated with higher scores in the dimensions \'Victimization\' and Intimidation\'. Higher scores in ""Victimization"" were recorded by children with SEN, but also by those who had not been born in Greece. Children with SEN and those with conduct problems scored higher in the dimension ""Bullying"" than children whose native language was not Greek. In conclusion, this study showed that in the fifth and sixth grades of primary school, a group of schoolchildren with SEN reported higher levels than a control group of victimization and bullying. These findings suggest that there is a great need for raising the awareness of this situation among the school staff through the provision of special training. Mental health preventive and promotive programs can enable school staff to identify students who are at higher risk of becoming victims of bullying and victimization. It is also recommended that children with SEN should be taught coping strategies against school bullying in the classroom and the wider school community.'",,,Kolaitis,G,G,,"Department of Child Psychiatry, School of Medicine, National and Kapodistrian University of Athens, ""Aghia Sophia"" Children's Hospital, Athens, Greece.",gre,,Journal Article,,,Greece,Psychiatriki,101534363,1105-2333,,,,6,0,ppublish,,10.22365/jpsych.2018.292.149
,,,22822934,,2018,8,13,,,1573-6601,,,Journal of youth and adolescence,J Youth Adolesc,b'Who Becomes a Bullying Perpetrator After the Experience of Bullying Victimization? The Moderating Role of Self-esteem.',10.1007/s10964-018-0913-7,,"b'It is well known that victims of bullying could become a bullying perpetrator later on. However, there are some cases where victims do not become bullies after being bullied. What constitutes the differences between the two groups, who show different response strategies despite the similar experiences of victimization, is the main question that the current study poses. Based on the threatened egotism theory, the current longitudinal study postulates that there could be possible moderating effects of self-esteem in the relationship between prior bullying victimization and subsequent bullying perpetration. The data was drawn from 3,660 Korean secondary students (51.5% male) in the Seoul Education Longitudinal Study for 2 waves (7th to 8th grades). The results from structural equation modeling indicated that there is a significant interaction effect between bullying victimization and self-esteem in the 7'",,,Park,Soowon,S,,"Department of Education, Sejong University, Seoul, 05006, Republic of Korea. spark@sejong.ac.kr.",eng,,Journal Article,,,United States,J Youth Adolesc,0333507,0047-2891,,,,6,0,ppublish,,10.1007/s10964-018-0913-7
