PubmedArticleSet,PubmedArticle,MedlineCitation,PMID,DateRevised,Year,Month,Day,Article,Journal,ISSN,JournalIssue,PubDate,Title,ISOAbbreviation,ArticleTitle,ELocationID,Abstract,AbstractText,AuthorList,Author,LastName,ForeName,Initials,AffiliationInfo,Affiliation,Language,PublicationTypeList,PublicationType,ArticleDate,MedlineJournalInfo,Country,MedlineTA,NlmUniqueID,ISSNLinking,PubmedData,History,PubMedPubDate,Hour,Minute,PublicationStatus,ArticleIdList,ArticleId
,,,30395769,,2018,11,6,,,1532-2491,,,Substance use & misuse,Subst Use Misuse,b'Multiple Marginality and the Variation in Delinquency and Substance use Among Adolescent Gang Members.',10.1080/10826084.2018.1528465,,b'Family and school factors are likely important protective factors against delinquency and substance use among gang members. Interventions at the family and community level may be particularly important in reducing poor health and social outcomes for adolescent gang members.',,,Dickson-Gomez,Julia,J,,"a Department of Psychiatry and Behavioral Medicine, Medical College of Wisconsin , Center for AIDS Intervention Research (CAIR) , Milwaukee , Wisconsin , USA.",eng,,Journal Article,,,England,Subst Use Misuse,9602153,1082-6084,,,,6,0,aheadofprint,,10.1080/10826084.2018.1528465
,,,30328371,,2018,10,18,,,1552-6518,,,Journal of interpersonal violence,J Interpers Violence,b'Exploring the Utility of Theory-Informed Methodological Approaches in Youth Harassment Research.',10.1177/0886260518803607,,"b'In comparison to research on youth bullying, less research has been dedicated to youth harassment experiences in school. This study seeks to illustrate youth harassment experiences in school through three theoretically informed methodological approaches to modeling youth victimization: binary, cumulative risk, and attributional approaches. Data come from the 2015 Vermont School Climate Pilot Survey ( N = 2,589 students). Students with complete harassment information ( N = 2,481) were included. Using theoretically informed methodological approaches, regression models examined the associations between experiencing harassment (binary, attributions, and cumulative) and school connection, safety, and equity. About 16% of the sample experienced some form of harassment during the current school year (2014-2015). The most prominent attributions of harassment include weight (40%), sex (27%), and race (22%). After controlling for sociodemographics, ever experiencing harassment was associated with lower school safety, -0.73 (), p < .001, lower connection with school, -0.52 (), p < .001, and lower perceived equity, -0.77 (), p < .001. Experiencing harassment is negatively related to school climate. The results from these analyses underscore the negative relationship among harassment victimization and several important indicators of school climate including student connection, perceived safety at and to/from school, and perceived equity of school. Theoretically informed methodological approaches in youth harassment research should be advanced to comprehensively assess the relationship between harassment victimization and harassment attributes on the social, academic, and behavioral development of youth.'",,,Brion-Meisels,Gretchen,G,,"2 Harvard Graduate School of Education, Cambridge, MA, USA.",eng,,Journal Article,,,United States,J Interpers Violence,8700910,0886-2605,,,,6,0,aheadofprint,,10.1177/0886260518803607
,,,30241657,,2018,9,23,,,2352-7226,,,Sleep health,Sleep Health,"b'Perceived school safety, perceived neighborhood safety, and insufficient sleep among adolescents.'",10.1016/j.sleh.2018.07.006,,b'The findings of this study indicate that efforts to improve the safety of salient social contexts in which adolescents develop may reduce the likelihood of insufficient sleep faced by a large portion of school-aged children.',,,Ammons-Blanfort,Candice,C,,"Florida International University, Department of Criminology and Criminal Justice, 11200 SW 8th Street, PCA-257, Miami, FL. 33199.",eng,,Journal Article,,,United States,Sleep Health,101656808,2352-7218,,,,6,0,ppublish,,10.1016/j.sleh.2018.07.006
,,,30218722,,2018,9,16,,,1096-0260,,,Preventive medicine,Prev Med,b'The impact of positive contextual factors on the association between adverse family experiences and obesity in a National Survey of Children.',10.1016/j.ypmed.2018.09.002,,"b""Adverse family experiences (AFEs) are associated with childhood obesity. We evaluated whether certain positive contextual factors reduce the risk of obesity and overweight among children exposed to AFEs in a nationally representative sample. Using data derived from the National Survey of Children's Health 2011-12 (N=43,864), we calculated the distribution of positive contextual factors (very good/excellent maternal mental health, neighborhood and school safety, and child resilience) and AFEs across weight status. The AFEs composite score was modeled as a categorical measure (0 or 1 AFEs). Positive contextual factors, AFEs and their interactions were evaluated in weighted, adjusted, multinomial logistic regression models predicting the odds of overweight and obesity. Children exposed to lack of very good/excellent maternal mental health and at least one AFE were at risk for overweight (OR=1.43; 95% CI: 1.16, 1.76) and obesity (OR=1.53; 95% CI: 1.22, 1.93). Unsafe school or neighborhood environment and exposure to 1 or more AFEs was. associated with overweight (OR=1.32; 95% CI: 1.08, 1.61) and obesity (OR=1.66; 95% CI: 1.34, 2.05). Lack of child resilience and exposure to 1 or more AFEs was associated with an increased risk of obesity (OR=1.45; 95% CI: 1.17, 1.90) and overweight (OR=1.29; 95% CI: 1.06, 1.57). These odds of obesity and overweight all decreased when positive contextual factors were present. Among children exposed to AFEs, overweight and obesity risk is reduced with positive contextual factors. Optimizing the early childhood environment can impact obesity risk.""",,,Agunwamba,Amenah,A,,"Department of Health Sciences Research, Robert D. and Patricia E. Kern Center for the Science of Health Care Delivery, Mayo Clinic, 200 First Street SW, Rochester, MN 55905, USA. Electronic address: agunwamba.amenah@mayo.edu.",eng,,Journal Article,,,United States,Prev Med,0322116,0091-7435,,,,6,0,ppublish,,10.1016/j.ypmed.2018.09.002
,,,30197197,,2018,9,11,,,1879-1972,,,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,J Adolesc Health,"b""Surveillance or Safekeeping? How School Security Officer and Camera Presence Influence Students' Perceptions of Safety, Equity, and Support.""",10.1016/j.jadohealth.2018.06.008,,"b'Our findings may suggest that outside cameras and security may be perceived by students as safekeeping, whereas inside cameras may evoke feelings of being viewed as potential perpetrators who need surveillance.'",,,Bradshaw,Catherine P,CP,,"School of Education, University of Virginia, Charlottesville, Virginia. Electronic address: Catherine.Bradshaw@virginia.edu.",eng,,Journal Article,,,United States,J Adolesc Health,9102136,1054-139X,,,,6,0,ppublish,,10.1016/j.jadohealth.2018.06.008
,,,14583691,,2018,7,14,,,1872-7123,,,Psychiatry research,Psychiatry Res,b'Connections that moderate risk of non-suicidal self-injury among transgender and gender non-conforming youth.',10.1016/j.psychres.2018.06.068,,"b'We examined associations between social connections and non-suicidal self-injury (NSSI) among transgender/gender non-conforming (TGNC) youth. Data came from the 2016 Minnesota Student Survey (N=2168). Logistic regression analyses determined connectedness factors associated with any past-year NSSI and repetitive NSSI, as well as moderating effects of significant connectedness factors on different risk factors. Almost 55% of TGNC students engaged in NSSI, and 40% of self-injurers reported repetitive self-injury. Parent connectedness, connections to non-parental adults, and school safety emerged as robust protective factors. Strategies to prevent/reduce NSSI should focus on fostering connections with prosocial adults, and ensuring schools represent safe places.'",,,Eisenberg,Marla E,ME,,"Division of General Pediatrics and Adolescent Health, Department of Pediatrics, University of Minnesota, Minneapolis, MN, United States.",eng,,Journal Article,,,Ireland,Psychiatry Res,7911385,0165-1781,,,,6,0,ppublish,,NIHMS1500088
,,,29989188,,2018,7,11,,,1539-6924,,,Risk analysis : an official publication of the Society for Risk Analysis,Risk Anal.,b'Interdisciplinary Approaches to Examining Postdisaster School Recovery.',10.1111/risa.13137,,"b'This perspectives article uses a postdisaster school recovery research domain to examine two tenets of interdisciplinary research (IDR): integrative problem formulation and synthesis. Advancing interdisciplinary knowledge requires a ""roadmap"" of commonalities between disciplinary domains and outcomes of interest. Four school recovery domains-child trauma, educational learning outcomes, school safety, and household and community recovery-are presented to highlight common frameworks for IDR. A case study is also used to illustrate the value of interdisciplinary research and mixed-methods approaches, including statistics, geospatial analysis, and spatial statistics, for answering questions regarding how school contexts and location influence school recovery patterns.'",,,Lai,Betty,B,,"Department of Counseling, Developmental, and Educational Psychology, Lynch School of Education, Boston College, Chestnut Hill, MA, USA.",eng,,Journal Article,,,United States,Risk Anal,8109978,0272-4332,,,,6,0,aheadofprint,,10.1111/risa.13137
,,,29986627,,2018,7,11,,,1546-8364,,,The Journal of school nursing : the official publication of the National Association of School Nurses,J Sch Nurs,b'School Safety.',10.1177/1059840518782215,,,,,McDonald,Catherine C,CC,,"University of Pennsylvania, School of Nursing, Member of the Editorial Advisory Board, The Journal of School Nursing.",eng,,Journal Article,,,United States,J Sch Nurs,9206498,1059-8405,,,,6,0,ppublish,,10.1177/1059840518782215
,,,25773320,,2018,7,3,,,1573-2827,,,Clinical child and family psychology review,Clin Child Fam Psychol Rev,"b""Building Schools' Readiness to Implement a Comprehensive Approach to School Safety.""",10.1007/s10567-018-0264-7,,"b'Research consistently finds that a comprehensive approach to school safety, which integrates the best scientific evidence and solid implementation strategies, offers the greatest potential for preventing youth violence and promoting mental and behavioral health. However, schools and communities encounter enormous challenges in articulating, synthesizing, and implementing all the complex aspects of a comprehensive approach to school safety. This paper aims to bridge the gap between scientific evidence and the application of that evidence in schools and communities by defining the key components of a comprehensive approach to school safety and describing how schools can assess their readiness to implement a comprehensive approach. We use readiness and implementation data from the Safe Communities Safe Schools project to illustrate these challenges and solutions. Our findings suggest that (1) readiness assessment can be combined with feasibility meetings to inform school selection for implementation of a comprehensive approach to school safety and (2) intentionally addressing readiness barriers as part of a comprehensive approach may lead to improvements in readiness (motivation and capacity) to effectively implement a comprehensive approach to school safety.'",,,Elliott,Delbert,D,,"Center for the Study and Prevention of Violence, Institute of Behavioral Science, University of Colorado Boulder, 1440 15th Street, Boulder, CO, 80302, USA.",eng,,Review,,,United States,Clin Child Fam Psychol Rev,9807947,1096-4037,,,,6,0,ppublish,,10.1007/s10567-018-0264-7
,,,29389173,,2018,6,28,,,1573-6695,,,Prevention science : the official journal of the Society for Prevention Research,Prev Sci,b'Evaluation of the Olweus Bully Prevention Program in an Urban School System in the USA.',10.1007/s11121-018-0923-4,,"b""This study evaluated the Olweus Bully Prevention Program (OBPP) in urban middle schools serving a mostly African American student population. Participants were 1791 students from three communities with high rates of crime and poverty. We evaluated the impact of the OBPP using a multiple-baseline experimental design in which we randomized the order and timing of intervention activities across three schools. We assessed the frequency of violence and victimization using self-report and teachers' ratings of students collected every 3months over 5years. Initiation of the OBPP was associated with reductions in teachers' ratings of students' frequency of aggression, with effects emerging in different years of implementation for different forms of aggression. Whereas reductions in teachers' ratings of students' verbal and relational aggression and victimization were evident during the second implementation year, reductions in physical aggression did not appear until the third year. Effects were consistent across gender and schools, with variability across grades for relational and verbal aggression and victimization. In contrast, there were no intervention effects on students' reports of their behavior. Positive outcomes for teachers', but not students' ratings, suggest the intervention's effects may have been limited to the school context. Variation in when effects emerged across outcomes suggests that changes in physical aggression may require more sustained intervention efforts. The intervention was also associated with increases in teachers' concerns about school safety problems, which may indicate that teachers were more attuned to recognizing problem behaviors following exposure to the OBPP.""",,,Masho,Saba,S,,"Department of Family Medicine and Population Health, School of Medicine, Virginia Commonwealth University, Richmond, VA, 23298-0212, USA.",eng,,Journal Article,,,United States,Prev Sci,100894724,1389-4986,,,,6,0,ppublish,,10.1007/s11121-018-0923-4
