PubmedArticleSet,PubmedArticle,MedlineCitation,PMID,DateRevised,Year,Month,Day,Article,Journal,ISSN,JournalIssue,PubDate,Title,ISOAbbreviation,ArticleTitle,ELocationID,Abstract,AbstractText,AuthorList,Author,LastName,ForeName,Initials,AffiliationInfo,Affiliation,Language,PublicationTypeList,PublicationType,ArticleDate,MedlineJournalInfo,Country,MedlineTA,NlmUniqueID,ISSNLinking,PubmedData,History,PubMedPubDate,Hour,Minute,PublicationStatus,ArticleIdList,ArticleId
,,,30273033,,2018,10,3,,,1544-5208,,,Health affairs (Project Hope),Health Aff (Millwood),b'Locked Down After A School Shooting.',10.1377/hlthaff.2018.0646,,"b""After a school shooting disrupts his family's life, a physician calls for action on gun control and gun violence.""",,,Reed,Tony S,TS,,"Tony S. Reed ( tony.reed@tuhs.temple.edu ) is the associate chief medical officer and a practicing physician at Temple University Hospital, in Philadelphia, Pennsylvania.",eng,,Journal Article,,,United States,Health Aff (Millwood),8303128,0278-2715,,,,6,0,ppublish,,10.1377/hlthaff.2018.0646
,,,21710573,,2018,9,18,,,2192-001X,,,International journal of developmental science,Int J Dev Sci,b'Same but Different? Developmental Pathways to Demonstrative Targeted Attacks - Qualitative Case Analyses of Adolescent and Young Adult Perpetrators of Targeted School Attacks and Jihadi Terrorist Attacks in Germany.',10.3233/DEV-180255,,"b""Analysis of incidents over the past ten years in Germany reveals that the boundaries between targeted attacks in schools and terrorist attacks are starting to blur. Bckler, Leuschner, Roth, Zick, and Scheithauer (2018) recently presented a set of hypotheses about similarities between the developmental pathways of school attackers and lone actor terrorists. To date there is only a small body of empirical research comparing these two forms of targeted violence in depth. In order to fill this gap, this article presents findings from a qualitative analysis of prosecution files comparing the developmental pathways of German school attackers (N = 7; age range: 13 to 23) and Jihadi attackers (N = 7; age range: 21 to 28 years) who committed their attacks between 2000 and 2013. Using theoretical coding and constant case comparison, the contribution shows that the two phenomena have overlaps in which developmental processes and social mechanisms are similar. Both school attackers and Jihadi attackers frame their act of violence using cultural scripts and perform the attack on a public stage where victims are attacked not on the basis of personal conflicts but because of their symbolic meaning. Taking into account the similarities in the perpetrators' developmental pathways, the authors propose that it might be more fruitful from an operational perspective to discuss severe target school violence and terrorist attacks under a common concept of demonstrative violence than to artificially assign them to exclusive classes of violence.""",,,Scheithauer,Herbert,H,,"Freie Universität Berlin, Germany.",eng,,Journal Article,,,Netherlands,Int J Dev Sci,101587228,2192-001X,,,,6,1,epublish,,PMC6130415
,,,30130424,,2018,8,22,,,1545-0066,,,Prehospital emergency care : official journal of the National Association of EMS Physicians and the National Association of State EMS Directors,Prehosp Emerg Care,b'Correlation Between Paramedic Disaster Triage Accuracy in Screen-Based Simulations and Immersive Simulations.',10.1080/10903127.2018.1475530,,"b'SBS education was associated with a significant increase in triage accuracy in an immersive simulation, although triage accuracy demonstrated in the SBS did not correlate with the performance in the immersive simulation. This improvement in accuracy was similar to the improvement seen when immersive simulation was used as the educational intervention in a previous study.'",,,Auerbach,Marc,M,,,eng,,Journal Article,,,England,Prehosp Emerg Care,9703530,1090-3127,,,,6,0,aheadofprint,,10.1080/10903127.2018.1475530
,,,25264559,,2018,5,21,,,1535-1645,,,Current psychiatry reports,Curr Psychiatry Rep,b'Youth Responses to School Shootings: a Review.',10.1007/s11920-018-0903-1,,"b'Recent research suggests that most young people exposed to school shootings demonstrate resilience, exhibiting no long-term dysfunction. However, a minority will experience severe and chronic symptoms. The likelihood of experiencing clinically significant reactions is influenced by pre-trauma functioning as well as peri-traumatic and post-traumatic factors. These include proximity to the trauma, peri-traumatic dissociation, post-traumatic emotional regulation difficulties, social support, and flexibility of coping styles. Research that separates the distinguishing features of young people with differing recovery styles is vital to tailor intervention. But methodological and design issues associated with such research necessitates caution in drawing conclusions. Variation in definitions and measures and the self-report nature of many of the studies are potential sources of bias. Greater uniformity across designs would enhance confidence and allow for improved evidence-based intervention.'",,,Elklit,Ask,A,,"Psychology, University of Southern Denmark, Campusvej 55, 5230, Odense M, Denmark.",eng,,Review,,,United States,Curr Psychiatry Rep,100888960,1523-3812,,,,6,0,epublish,,10.1007/s11920-018-0903-1
,,,29727316,,2018,5,5,,,1938-808X,,,Academic medicine : journal of the Association of American Medical Colleges,Acad Med,"b""Gun Violence: Two Medical Students' Hometown Connection to This Public Health Crisis.""",10.1097/ACM.0000000000002267,,"b""The school shooting in Parkland, Florida in February 2018 left 17 people dead and countless other children and teachers with physical and psychological trauma that will require decades of healing. As Marjory Stoneman Douglas High School alumni and current medical students, the authors of this Invited Commentary contend that they are in a unique position to advocate on behalf of their neighbors, classmates, and future patients. Since the authors began medical school in 2015, there have been 19 mass shootings in the United States, resulting in 253 deaths. During this same time period, there have been nearly 100,000 gun-related deaths in the United States. While 60.7% of those gun deaths were suicides, the public must not, and should not, attribute all gun violence to the spectrum of psychiatric diagnoses. Several studies have shown that increased access to firearms directly increases the rate of one of the United States' most pressing public health issues-gun violence. Despite this fact, and as the result of misguided health policies like the Dickey Amendment, the funding for research on gun violence pales in comparison with that for other leading causes of death. Consequently, the health care community has long been without adequate data to engage in evidence-based gun violence prevention and education efforts. As two students on the cusp of beginning their medical careers, the authors argue that they and other health care providers can no longer sit idly on the sidelines as this public health crisis continues to impact the United States.""",,,Lieberman,Monica P,MP,,"N.O. Kuhl is a third-year medical student, Vanderbilt University School of Medicine, Nashville, Tennessee. M.P. Lieberman is a third-year medical student, University of Miami Miller School of Medicine, Miami, Florida.",eng,,Journal Article,,,United States,Acad Med,8904605,1040-2446,,,,6,0,ppublish,,10.1097/ACM.0000000000002267
,,,29590520,,2018,10,26,,,1552-146X,,,The Hastings Center report,Hastings Cent Rep,"b'Mass Shootings, Mental Illness, and Gun Control.'",10.1002/hast.832,,"b'In the wake of the Stoneman Douglas School shooting, Republican and Democratic leaders-like the American electorate they represent-remain sharply divided in their responses to gun violence. They are united in their condemnation of these mass shootings, but they disagree about whether stricter or looser gun control laws are the answer. Those on the right side of the political aisle suggest that the issue is one of mental illness rather than gun control. Conversely, those who are more liberal or progressive in their political learnings are quick to condemn attempts to reframe the issue of mass shootings as a mental health problem. Both sides are wrong. Mass shootings are indeed partially a mental health problem, albeit one poorly addressed by our current laws and policies. But the solution to mass shootings also needs to consider strategies that may reduce gun violence in general.'",,,Philpott-Jones,Sean,S,,,eng,,Journal Article,,,United States,Hastings Cent Rep,0410447,0093-0334,,,,6,0,ppublish,,10.1002/hast.832
,,,29252222,,2017,12,19,,,1528-1140,,,Annals of surgery,Ann. Surg.,b'Prevent the Bleed: How Surgeons Can Lead the National Conversation About Firearm Safety Forward.',10.1097/SLA.0000000000002638,,"b"": In the 5 years since the Sandy Hook elementary school shooting that claimed the lives of 20 children and 6 of their teachers, we have witnessed intolerably more mass shooting events. In the intervening years, over 150,000 Americans have died because of firearm violence, 3 times the number who lost their lives during the Revolutionary war. In the last 2 months, we have been left reflecting on 2 more tragedies. The first came on October 1 in Las Vegas, at the Route 91 music festival where 58 were killed and over 500 injured by a single gunman. The second, on November 5, took place in Sutherland Springs, Texas (population 600) near San Antonio and claimed the lives of 26 men women and children while they prayed. As was witnessed in Orlando and San Bernardino, these most recent mass casualty incidents strained first responders, law enforcement, and the state's trauma systems to their breaking point.Once again, we were left searching for the reasons behind these tragedies asking predictable questions: who did this and why? Was it part of a terrorist plot or a lone psychopath with a grudge? Were the weapons obtained legally, and why would anyone need so many? How can we stop this from happening again?""",,,Warshaw,Andrew L,AL,,"Department of Surgery, Massachusetts General Hospital, Boston, MA.",eng,,Journal Article,,,United States,Ann Surg,0372354,0003-4932,,,,6,0,ppublish,,10.1097/SLA.0000000000002638
,,,29217576,,2018,3,30,,,1095-9203,,,"Science (New York, N.Y.)",Science,b'Firearms and accidental deaths: Evidence from the aftermath of the Sandy Hook school shooting.',10.1126/science.aan8179,,"b'Exposure to firearms increased substantially after the December 2012 shooting at Sandy Hook Elementary School in Newtown, Connecticut, where 20 children and 6 adults were killed. Gun sales spiked by 3 million, on the basis of the increase in the number of background checks for firearm purchases. Google searches for buying and cleaning guns increased. We used Vital Statistics mortality data to examine whether a spike in accidental firearm deaths occurred at the same time as the greater exposure to firearms. We also assessed whether the increase in these deaths was larger in those states where the spike in gun sales per capita was larger. We find that an additional 60 deaths overall, including 20 children, resulted from unintentional shootings in the immediate aftermath of Sandy Hook.'",,,McKnight,Robin,R,,"National Bureau of Economic Research, Cambridge, MA 02138, USA.",eng,,"Research Support, U.S. Gov't, P.H.S.",,,United States,Science,0404511,0036-8075,,,,6,0,ppublish,,10.1126/science.aan8179
,,,29136270,,2018,4,25,,,1932-149X,,,American journal of disaster medicine,Am J Disaster Med,b'60 seconds to survival: A pilot study of a disaster triage video game for prehospital providers.',10.5055/ajdm.2017.0263,,"b""The intervention demonstrated a significant improvement in accuracy from baseline to time 2 while the control did not. However, there was no significant difference in the improvement between the intervention and control groups. These results may be due to small sample size. Future directions include assessment of the game's effect on triage accuracy with a larger, multisite site cohort and iterative development to improve 60S.""",,,Auerbach,Marc A,MA,,"Departments of Pediatrics and Emergency Medicine, Yale School of Medicine, New Haven, Connecticut.",eng,,"Research Support, N.I.H., Extramural",,,United States,Am J Disaster Med,101291100,1932-149X,,,,6,0,ppublish,,10.5055/ajdm.2017.0263
,,,29017639,,2017,10,12,,,0886-6708,,,Violence and victims,Violence Vict,b'Predicting Grief Reactions One Year Following a Mass University Shooting: Evaluating Dose-Response and Contextual Predictors.',10.1891/0886-6708.VV-D-16-00043,,"b""This study identifies risk factors for grief following a mass school shooting. Participants (N = 1,013) completed online questionnaires 3-4 months (Time 1) and 1 year (Time 2) post-shootings. We tested models predicting Time 2 grief reactions, exploring direct and indirect predictive effects of exposure variables (physical and social proximity) through hypothesized peritraumatic mediators (peritraumatic perceived threat to self or others) while controlling for Time 1 grief and posttraumatic stress (PTS) reactions, pretrauma vulnerabilities. Findings demonstrate that closer social proximity predicted higher levels of Time 2 grief, directly and indirectly through increasing peritraumatic perceived threat to others' safety. Physical proximity and peritraumatic threat to self did not predict Time 2 grief reactions. Implications for grief screening instruments and theory building research through identifying risk factors and causal mechanisms are discussed.""",,,Jones,Russell T,RT,,,eng,,Journal Article,,,United States,Violence Vict,8916436,0886-6708,,,,6,0,ppublish,,10.1891/0886-6708.VV-D-16-00043
