PubmedArticleSet,PubmedArticle,MedlineCitation,PMID,DateRevised,Year,Month,Day,Article,Journal,ISSN,JournalIssue,PubDate,Title,ISOAbbreviation,ArticleTitle,ELocationID,Abstract,AbstractText,AuthorList,Author,LastName,ForeName,Initials,AffiliationInfo,Affiliation,Language,PublicationTypeList,PublicationType,ArticleDate,MedlineJournalInfo,Country,MedlineTA,NlmUniqueID,ISSNLinking,PubmedData,History,PubMedPubDate,Hour,Minute,PublicationStatus,ArticleIdList,ArticleId
,,,30391140,,2018,11,5,,,1678-4782,,,Jornal de pediatria,J Pediatr (Rio J),b'Relationship between bullying and type 1 diabetes mellitus in children and adolescents: a systematic review.',10.1016/j.jped.2018.10.003,,b'Most of the studies showed an association between bullying and type 1 diabetes when compared to individuals with no such condition. Knowledge of this association has become essential for the follow-up of these patients and the implementation of preventive programs.',,,Alves,Crésio de Aragão Dantas,CAD,,"Universidade Federal da Bahia (UFBA), Faculdade de Medicina, Hospital Universitário Prof. Edgard Santos, Unidade de Endocrinologia Pediátrica, Salvador, BA, Brazil.",eng,,Review,,,Brazil,J Pediatr (Rio J),2985188R,0021-7557,,,,6,0,aheadofprint,,10.1016/j.jped.2018.10.003
,,,30379110,,2018,11,1,,,1552-6518,,,Journal of interpersonal violence,J Interpers Violence,b'Disciplining in Sri Lankan Schools: A Cross-Sectional Study.',10.1177/0886260518808851,,"b""An integral part of a teacher's job is to correct misbehavior of students. There is scarcity of information on disciplinary methods used by teachers in schools in Sri Lanka. As a part of a larger research, this study was undertaken to fill this gap. A culturally validated questionnaire was used to assess the various disciplinary methods used by 459 teachers, on 948 students, in six districts in Sri Lanka. National, provincial, special education, and private schools were included in this study. The study revealed that teachers used aversive disciplinary methods such as corporal punishment and psychological aggression. During the past term, 80.4% of students reported experiencing at least one strategy of corporal punishment and 72.5% reported experiencing psychological aggression. It was alarming to note that 53% of students reported experiencing at least one strategy of physical abuse in the schools in Sri Lanka. In all, 79.3% of students reported experiencing at least one strategy of positive discipline. Although teachers did use positive discipline, it was lesser than the use of aversive disciplinary methods. Hence, the use of force as a tool of discipline on young people in schools in Sri Lanka is widespread. The findings of this study should raise grave concern and ring alarm bells among authorities in Sri Lanka. Therefore, several recommendations to rectify this situation are also presented herein.""",,,de Silva,Harendra,H,,"1 University of Colombo, Sri Lanka.",eng,,Journal Article,,,United States,J Interpers Violence,8700910,0886-2605,,,,6,0,aheadofprint,,10.1177/0886260518808851
,,,30353840,,2018,10,26,,,1886-144X,,,Psicothema,Psicothema,b'Expressions of school violence in adolescence.',10.7334/psicothema2018.130,,"b'The study underscores the wide-ranging typology of violence at schools, and its everyday occurrence in classrooms, which highlight the need for improving our understanding in order to enhance the efficacy of prevention and intervention programs.'",,,Álvarez Roales,Enrique,E,,Universidad de Vigo.,eng,,Journal Article,,,Spain,Psicothema,101189384,0214-9915,,,,6,0,ppublish,,10.7334/psicothema2018.130
,,,20532613,,2018,10,12,,,2055-5784,,,Pilot and feasibility studies,Pilot Feasibility Stud,b'Culturally congruent mentorship can reduce disruptive behavior among elementary school students: results from a pilot study.',10.1186/s40814-018-0339-8,,"b'The integration of culturally congruent mentorship in elementary school-settings is feasible and can reduce risk of disruptive behaviors among at-risk African American students. Future studies should use randomized clinical trials to determine the effectiveness of culturally congruent mentorship interventions (void of potential selection and confounding biases) in reducing disruptive behavior, level III/IV infractions, and school suspensions among at-risk children.'",,,Lane,Sandra D,SD,,"1Department of Public Health, Falk College, Syracuse University, Syracuse, NY 13244 USA.",eng,,Journal Article,,,England,Pilot Feasibility Stud,101676536,2055-5784,,,,6,1,epublish,,PMC6137865
,,,30281729,,2018,10,4,,,1678-4561,,,Ciencia & saude coletiva,Cien Saude Colet,b'Negative self-perceived health associated with school violence in adolescents.',10.1590/1413-81232018239.12962018,,"b'O objetivo deste artigo  verificar a associao entre autopercepo negativa em sade e violncia escolar em adolescentes estudantes do Municpio de Olinda - PE. Estudo transversal, analtico e de base escolar com amostra constituda por 2.614 adolescentes, selecionados por meio de uma estratgia de amostragem aleatria em conglomerados. As informaes foram obtidas atravs do questionrio Youth Risk Behavior Survey de onde foram retiradas as questes de violncia bem como da autopercepo de sade. Os dados foram tabulados pelo programa Epi-data verso 3.1 e transcrito para o SPSS verso 22. Utilizou-se os teste do Qui-quadrado e o modelo de regresso logstica binria stepwise para anlise dos dados. Observou-se que 26,7% dos adolescentes tinham uma autopercepo negativa em sade, sendo maior entre as moas. Em relao  violncia escolar, a autopercepo negativa esteve associada ao sentimento de tristeza, pensamento suicida, bullying na escola, roubado na escola e segurana na escola. Sexo e idade tambm se mantiveram associadas (p < 0.05). Refora-se a necessidade de aes de cultura e paz na adolescncia, envolvendo o ambiente escolar, a fim de refletir na analise de sade pobre dos adolescentes reduzindo tambm o ndice de violncia.'",,,Santos,Carolina da Franca Bandeira Ferreira,CDFBF,,"Programa de Pós-Graduação em Hebiatria, Universidade de Pernambuco (UPE). Av. Gov. Agamenon Magalhães, Santo Amaro. 50100-010 Recife PE Brasil. brunorafael45@hotmail.com.",eng,,Journal Article,,,Brazil,Cien Saude Colet,9713483,1413-8123,,,,6,0,ppublish,,10.1590/1413-81232018239.12962018
,,,30278116,,2018,10,3,,,1467-9450,,,Scandinavian journal of psychology,Scand J Psychol,b'Exposure to parental and community violence and the relationship tobullying perpetration and victimization among early adolescents: Aparallel process growth mixture latent transition analysis.',10.1111/sjop.12493,,"b'This study examined heterogeneity in parental and community violence exposure during middle school and its association with bullying perpetration and victimization in high school. Youth (N = 1,611) in four Midwestern middle schools participated. Parallel process growth mixture latent transition analysis was used to understand how trajectory profiles of middle school violence exposure was associated with high school bullying profiles. Impulsivity, depression, school belonging, and delinquency were assessed as moderators of the transition probabilities. A three class solution was found for violence exposure: decreasing parental violence/increasing community violence (n = 103; 6.4%), stable high parental violence and low community violence (n = 1,027; 63.7%), and increasing parental violence and stable high community violence (n = 481; 29.8%). Similarly, a three class solution was found for high school bullying: High Bullying Perpetration and High Victimization class (n = 259; 16%), Victimization only (n = 1145; 71%), and low all class (n = 207; 13%). The largest proportion of youth transitioning into the high bullying and high victimization class were from the decreasing parental violence/increasing community violence. Depression, impulsivity, school belonging, and delinquency all had various moderating effects on transition probabilities. Our findings make it apparent that early forms of parental and community violence are associated with aggressive behaviors and experiences with victimization during high school. Prevention and intervention efforts should target individuals who display early and chronic patterns of exposure to violence as these individuals have the greatest risk of later aggressive and victimization in high school.'",,,Espelage,Dorothy L,DL,,"University of Florida, Department of Psychology, Gainesville, Florida, United States.",eng,,Journal Article,,,England,Scand J Psychol,0404510,0036-5564,,,,6,0,aheadofprint,,10.1111/sjop.12493
,,,21710573,,2018,9,18,,,2192-001X,,,International journal of developmental science,Int J Dev Sci,b'Same but Different? Developmental Pathways to Demonstrative Targeted Attacks - Qualitative Case Analyses of Adolescent and Young Adult Perpetrators of Targeted School Attacks and Jihadi Terrorist Attacks in Germany.',10.3233/DEV-180255,,"b""Analysis of incidents over the past ten years in Germany reveals that the boundaries between targeted attacks in schools and terrorist attacks are starting to blur. Bckler, Leuschner, Roth, Zick, and Scheithauer (2018) recently presented a set of hypotheses about similarities between the developmental pathways of school attackers and lone actor terrorists. To date there is only a small body of empirical research comparing these two forms of targeted violence in depth. In order to fill this gap, this article presents findings from a qualitative analysis of prosecution files comparing the developmental pathways of German school attackers (N = 7; age range: 13 to 23) and Jihadi attackers (N = 7; age range: 21 to 28 years) who committed their attacks between 2000 and 2013. Using theoretical coding and constant case comparison, the contribution shows that the two phenomena have overlaps in which developmental processes and social mechanisms are similar. Both school attackers and Jihadi attackers frame their act of violence using cultural scripts and perform the attack on a public stage where victims are attacked not on the basis of personal conflicts but because of their symbolic meaning. Taking into account the similarities in the perpetrators' developmental pathways, the authors propose that it might be more fruitful from an operational perspective to discuss severe target school violence and terrorist attacks under a common concept of demonstrative violence than to artificially assign them to exclusive classes of violence.""",,,Scheithauer,Herbert,H,,"Freie Universität Berlin, Germany.",eng,,Journal Article,,,Netherlands,Int J Dev Sci,101587228,2192-001X,,,,6,1,epublish,,PMC6130415
,,,30220647,,2018,9,18,,,1470-2738,,,Journal of epidemiology and community health,J Epidemiol Community Health,b'Witnessing violence in early secondary school predicts subsequent student impairment.',10.1136/jech-2018-211203,,"b'Almost all students witnessed school violence, which predicted impairment. Witnessing violence was associated with risk of subsequent adjustment problems 2years later. Directly experienced victimisation showed a comparable magnitude of risk. This suggests that when it comes to symptoms of conduct disorder, witnessing violence might have the same impact as experiencing it directly. Witnessing earlier covert and major violence predicted social impairment whereas minor violence predicted psychological and academic impairment.'",,,Pagani,Linda S,LS,,"School Environment Research Group (SERG), Université de Montréal, Montréal, Quebec, Canada.",eng,,Journal Article,,,England,J Epidemiol Community Health,7909766,0143-005X,,,,6,0,ppublish,,10.1136/jech-2018-211203
,,,11533391,,2018,9,12,,,1049-510X,,,Ethnicity & disease,Ethn Dis,b'Applying a Trauma Informed School Systems Approach: Examples from School Community-Academic Partnerships.',10.18865/ed.28.S2.417,,"b""This article concludes with recommendations for dissemination of trauma-informed practices across schools at all stages of readiness. We identify three main areas for facilitating the use of this framework: 1) assessment of school staff knowledge and awareness of trauma; 2) assessment of school and/or district's current implementation of trauma-informed principles and practices; 3) development and use of technology-assisted tools for broad dissemination of practices, data and evaluation, and workforce training of clinical and non-clinical staff.""",,,Stein,Bradley D,BD,,"RAND Corporation; Pittsburgh, PA.",eng,,Journal Article,,,United States,Ethn Dis,9109034,1049-510X,,,,6,0,epublish,,PMC6128351
,,,30156006,,2018,8,30,,,1098-2337,,,Aggressive behavior,Aggress Behav,"b""Victimization of teachers by students in Israel and in Chile and its relations with teachers' victimization of students.""",10.1002/ab.21791,,"b""Although in recent years there has been a growing interest in victimization of teachers by their students (student-to-teacher victimization), it is not discussed in relation to students' victimization by their teachers (teacher-to-student victimization) across cultures. This study used a cross-cultural comparative design to examine the prevalence of students' reports of student-to-teacher and teacher-to-student victimization and the correlations between them, both at the student and the school levels. It compares the patterns of findings among Jewish and Arab students in Israel and a sample of Chilean students. A nationally representative student sample in Israel (N=24,243 students from 474 schools) and a Chilean purposeful sample (N=24,243 students from 37 schools) answered questions regarding being victimized by teachers, and victimizing their teachers. Four cultural groups were compared: Jewish secular, Jewish religious, Arab, and Chilean students. Findings indicate that students reported that they victimized their teachers more verbally than physically. They also reported being victimized by their teachers, more verbally and less physically and sexually. These patterns were quite similar across the cultural groups, although there were significant differences between them in the prevalence of student-to-teacher and teacher-to-student victimization. The two types of victimization were associated: students who reported being victimized by teachers also tended to report that they victimized teachers, and schools in which teacher-to-student victimization was more prevalent were also schools in which student-to-teacher victimization tended to be more frequent. We discuss these findings both theoretically and regarding their implications for policy and practice.""",,,Ascorra,Paula,P,,"Pontificia Universidad Católica de Valparaíso and Center for Research in Inclusive Education, Valparaiso, Chile.",eng,,Journal Article,,,United States,Aggress Behav,7502265,0096-140X,,,,6,0,aheadofprint,,10.1002/ab.21791
