PubmedArticleSet,PubmedArticle,MedlineCitation,PMID,DateRevised,Year,Month,Day,Article,Journal,ISSN,JournalIssue,PubDate,Title,ISOAbbreviation,ArticleTitle,ELocationID,Abstract,AbstractText,AuthorList,Author,LastName,ForeName,Initials,AffiliationInfo,Affiliation,Language,PublicationTypeList,PublicationType,ArticleDate,MedlineJournalInfo,Country,MedlineTA,NlmUniqueID,ISSNLinking,PubmedData,History,PubMedPubDate,Hour,Minute,PublicationStatus,ArticleIdList,ArticleId
,,,30379662,,2018,11,1,,,1938-808X,,,Academic medicine : journal of the Association of American Medical Colleges,Acad Med,b'Medical Student Deaths by Suicide: The Importance of Transparency.',10.1097/ACM.0000000000002507,,"b'In this Invited Commentary, the authors present a call to action regarding the paucity of data related to medical student deaths by suicide. They review the limited literature on medical student suicide and suggest that no comprehensive study has ever occurred. They believe that the available data are too limited to conclude what the rate of death by suicide is among medical students compared to their age-matched peers. The authors speculate that the lack of accurate data may be related both to reluctance on the part of schools to report deaths by suicide, and to the failure of national organizations like the Association of American Medical Colleges, Accreditation Council for Graduate Medical Education, and Liaison Committee on Medical Education to mandate reporting. The authors believe that without reliable data the medical education community will never be able to determine whether any trends or predictors are connected to medical student death by suicide and, as a result, intervening in a meaningful way will remain impossible. The authors call on the national organizing bodies of medical education to mandate reporting of deaths by suicide, and to create and maintain a database for tracking and studying these events. They advocate public access to unidentified data, linking medical schools to the number of deaths by suicide, as another method of creating accountability and influencing medical school behavior in addressing this tragic phenomenon.'",,,Muller,David,D,,"B.M. Laitman is an intern, Otolaryngology, and a recent graduate, the MD/PhD program, the Icahn School of Medicine at Mount Sinai, New York City, New York; ORCID: https://orcid.org/0000-0002-9582-6088. D. Muller is dean, Medical Education and chair, Department of Medical Education, Icahn School of Medicine at Mount Sinai, New York City, New York.",eng,,Journal Article,,,United States,Acad Med,8904605,1040-2446,,,,6,0,aheadofprint,,10.1097/ACM.0000000000002507
,,,30232175,,2018,9,21,,,1756-1833,,,BMJ (Clinical research ed.),BMJ,b'Researcher cautions against initiatives to reduce student suicide that lack evidence.',10.1136/bmj.k3969,,,,,Nunez-Mulder,Laura,L,,The BMJ.,eng,,Journal Article,,,England,BMJ,8900488,0959-8138,,,,6,0,epublish,,10.1136/bmj.k3969
,,,30219222,,2018,9,17,,,1558-0490,,,Child and adolescent psychiatric clinics of North America,Child Adolesc Psychiatr Clin N Am,b'Assisting the School in Responding to a Suicide Death: What Every Psychiatrist ShouldKnow.',10.1016/j.chc.2018.05.007,,"b'When a child or adolescent dies by suicide, many individuals are affected, most of whom are attending school. Child and adolescent psychiatrists can be called on during the wake of such tragic events in order to help schools navigate the difficult tasks following a student suicide. Being familiar with suicide postvention guidelines is crucial for anyone involved in managing the events following a student suicide. By understanding the tenets of suicide postvention and resources that are available to schools and clinicians, the tragedy of suicide can also be an opportunity to improve school mental health and suicide prevention.'",,,Jacobson,Sansea,S,,"Department of Psychiatry, Western Psychiatric Institute & Clinic, UPMC, 3811 O'Hara Street, E503, Pittsburgh, PA 15213, USA.",eng,,Review,,,United States,Child Adolesc Psychiatr Clin N Am,9313451,1056-4993,,,,6,0,ppublish,,10.1016/j.chc.2018.05.007
,,,30157089,,2018,8,30,,,1938-808X,,,Academic medicine : journal of the Association of American Medical Colleges,Acad Med,b'Medical Student Suicide Rates: A Systematic Review of the Historical and International Literature.',10.1097/ACM.0000000000002430,,"b'Gaps exist in knowledge of medical student suicide rates, risk factors, and targets for intervention. Significant barriers have impeded information collection. Yet, more comprehensive data collection is needed to understand suicide risk in this population and to implement and improve effective intervention strategies.'",,,Rackley,Sandra J,SJ,,"C.J. Blacker is fellow and instructor, Department of Psychiatry and Psychology, Mayo Clinic, Rochester, Minnesota; ORCID: https://orcid.org/0000-0003-3510-0696. C.P. Lewis is research fellow and instructor, Department of Psychiatry and Psychology, Mayo Clinic, Rochester, Minnesota; ORCID: https://orcid.org/0000-0001-8791-657X. C.C. Swintak is assistant professor, Department of Psychiatry and Psychology, Mayo Clinic, Rochester, Minnesota. J.M. Bostwick is professor, Department of Psychiatry and Psychology, Mayo Clinic, Rochester, Minnesota. S.J. Rackley is assistant professor, Department of Psychiatry and Psychology, Mayo Clinic, Rochester, Minnesota.",eng,,Journal Article,,,United States,Acad Med,8904605,1040-2446,,,,6,0,aheadofprint,,10.1097/ACM.0000000000002430
,,,29544883,,2018,3,17,,,1097-6833,,,The Journal of pediatrics,J. Pediatr.,b'A School-Based Multilevel Study of Adolescent Suicide Ideation in California High Schools.',10.1016/j.jpeds.2017.12.070,,"b'Differences among schools in student suicide ideation are meaningful. The findings suggest an emphasis on the role of schools in prevention programs, public health campaigns to reduce suicide, multilevel research, and theory development.'",,,Roziner,Ilan,I,,"Sackler Faculty of Medicine, Tel Aviv University, Israel.",eng,,Journal Article,,,United States,J Pediatr,0375410,0022-3476,,,,6,0,ppublish,,10.1016/j.jpeds.2017.12.070
,,,2135823,,2018,3,8,,,1497-0015,,,Canadian journal of psychiatry. Revue canadienne de psychiatrie,Can J Psychiatry,b'Death by Suicide among Canadian Medical Students: A National Survey-Based Study.',10.1177/0706743717746663,,"b'Our estimated suicide rate falls within previously reported rates in medical students. While this may be lower than the national rate for Canadians between the ages of 20-30 years old, any suicide in the medical student community must be an impetus for national dialogue and further study. A strategy is needed to better define the prevalence, risk factors for and impact of medical student suicide in Canada.'",,,Roston,Christina,C,,"2 Student Affairs, Faculty of Medicine, University of British Columbia, Vancouver, British Columbia, Canada.",eng,,Journal Article,,,United States,Can J Psychiatry,7904187,0706-7437,,,,6,0,ppublish,,PMC5846966
,,,29174737,,2017,11,28,,,1573-2517,,,Journal of affective disorders,J Affect Disord,b'The role of media in preventing student suicides: A Hong Kong experience.',10.1016/j.jad.2017.11.007,,"b""The recent surge of student suicides in Hong Kong was statistically abnormal. Media engagement has changed local suicide news-reporting to become more preventive, which could have contributed to the drop of student suicides. It is essential to sustain the media's coverage of preventive reporting to maintain its enduring effect.""",,,Yip,Paul S F,PSF,,"Hong Kong Jockey Club Center for Suicide Research and Prevention, and Department of Social Work and Social Administration, The University of Hong Kong, Hong Kong Special Administrative Region. Electronic address: sfpyip@hku.hk.",eng,,"Research Support, Non-U.S. Gov't",,,Netherlands,J Affect Disord,7906073,0165-0327,,,,6,0,ppublish,,10.1016/j.jad.2017.11.007
,,,27736739,,2016,10,14,,,1573-2517,,,Journal of affective disorders,J Affect Disord,"b""The impact of a student's suicide: Teachers' perspectives.""",10.1016/j.jad.2016.09.058,,"b""The study showed high levels of distress among teachers after exposure to a student's suicide and greater need for help than that obtained.""",,,De Leo,Diego,D,,"Australian Institute for Suicide Research and Prevention, National Centre of Excellence in Suicide Prevention, World Health Organization Collaborating Centre for Research and Training in Suicide Prevention, Griffith University, Australia.",eng,,Journal Article,,,Netherlands,J Affect Disord,7906073,0165-0327,,,,6,0,ppublish,,10.1016/j.jad.2016.09.058
,,,19261563,,2016,9,15,,,1471-2458,,,BMC public health,BMC Public Health,b'Development of suicide postvention guidelines for secondary schools: a Delphi study.',10.1186/s12889-016-2822-6,,"b'In order to respond effectively and safely to the suicide of a student, schools need to undertake a variety of postvention actions. These are the first set of postvention guidelines produced worldwide for secondary schools that are based on expert opinion using the Delphi method.'",,,Robinson,Jo,J,,"headspace National Youth Mental Health Foundation, 485 La Trobe St, Victoria, 3000, Australia. jo.robinson@orygen.org.au.",eng,,"Research Support, Non-U.S. Gov't",,,England,BMC Public Health,100968562,1471-2458,,,,6,0,epublish,,PMC4765027
,,,28345178,,2016,12,15,,,1943-278X,,,Suicide & life-threatening behavior,Suicide Life Threat Behav,b'The Interpersonal-Psychological Theory of Suicide in College Student Suicide Screening.',10.1111/sltb.12188,,"b'Suicide screening on campus is limited by effectiveness of existing questionnaires. This study tests whether Interpersonal-Psychological Theory of Suicide (IPTS) constructs may be more effective in screening than traditional risk factors measures like the Interactive Screening Protocol (ISP). Participants were 188 traditional-age students from three different campuses recruited through a subject pool and peer recruiters. IPTS risk variables as a set explained all likelihood of higher risk responses to suicidality questions that was otherwise explained by risk factors, plus additional likelihood besides. Current IPTS measures are no screening ""magic bullet,"" but further inquiry into use of these constructs is warranted.'",,,Ream,Geoffrey L,GL,,"School of Social Work, Adelphi University, Garden City, NY, USA.",eng,,Journal Article,,,England,Suicide Life Threat Behav,7608054,0363-0234,,,,6,0,ppublish,,10.1111/sltb.12188
